mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_transformedtargetregressor__regressor__batch_size;param_transformedtargetregressor__regressor__hidden_layer_sizes;param_transformedtargetregressor__regressor__learning_rate_init;param_transformedtargetregressor__regressor__max_iter;params;rank_test_score;R2;MSE ;MAE 
32.74366641044617;15.447816682184694;0.008966922760009766;0.0045161872853461925;2;-64;0.01;100;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64,), 'transformedtargetregressor__regressor__learning_rate_init': 0.01, 'transformedtargetregressor__regressor__max_iter': 100};156; 0.224528404; 58.427013; 11.561695
4.84832223256429;0.27926523839689166;0.002687533696492513;0.0004917021346345452;2;-64;0.1;10;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64,), 'transformedtargetregressor__regressor__learning_rate_init': 0.1, 'transformedtargetregressor__regressor__max_iter': 10};396; 0.2224679788; 68.351565; 6.005143
7.211377541224162;0.3410109594906549;0.002962032953898112;3.61822396190153e-05;2;-64;0.1;15;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64,), 'transformedtargetregressor__regressor__learning_rate_init': 0.1, 'transformedtargetregressor__regressor__max_iter': 15};444; 0.0711619969; 65.380175; 9.242496
6.512743790944417;0.5252696950599246;0.003642400105794271;0.0009463344955115839;2;-64;0.1;20;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64,), 'transformedtargetregressor__regressor__learning_rate_init': 0.1, 'transformedtargetregressor__regressor__max_iter': 20};395; 0.2262452416; 60.614477; 4.097813
10.39633321762085;4.945262212693584;0.0407407283782959;0.05409296625296099;2;-64;0.1;25;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64,), 'transformedtargetregressor__regressor__learning_rate_init': 0.1, 'transformedtargetregressor__regressor__max_iter': 25};454; 0.392777595; 69.840364; 7.214751
17.188151915868122;10.614844136887266;0.0032989184061686196;0.0004887032025749494;2;-64;0.1;50;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64,), 'transformedtargetregressor__regressor__learning_rate_init': 0.1, 'transformedtargetregressor__regressor__max_iter': 50};397; 0.5060237123; 67.355552; 5.024945
17.28045376141866;11.98802213237871;0.003811359405517578;0.001913763979536413;2;-64;0.1;100;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64,), 'transformedtargetregressor__regressor__learning_rate_init': 0.1, 'transformedtargetregressor__regressor__max_iter': 100};392; 0.2258510634; 68.372735; 4.274657
10.745916684468588;0.8411716780821785;0.004289706548055013;0.00043541265853950286;2;(64, 64);0.0001;10;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64, 64), 'transformedtargetregressor__regressor__learning_rate_init': 0.0001, 'transformedtargetregressor__regressor__max_iter': 10};296; 0.4334492161; 62.347841; 10.409325
15.244170427322388;0.696040148518173;0.004452149073282878;0.0004711423532261154;2;(64, 64);0.0001;15;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64, 64), 'transformedtargetregressor__regressor__learning_rate_init': 0.0001, 'transformedtargetregressor__regressor__max_iter': 15};253; 0.1015276867; 68.438646; 9.281225
20.983798901240032;1.129292349420703;0.006826718648274739;0.0026181077724399694;2;(64, 64);0.0001;20;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64, 64), 'transformedtargetregressor__regressor__learning_rate_init': 0.0001, 'transformedtargetregressor__regressor__max_iter': 20};149; 0.4828318211; 52.205244; 11.641452
26.89316471417745;1.991370857575423;0.013273080190022787;0.010376365724470588;2;(64, 64);0.0001;25;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64, 64), 'transformedtargetregressor__regressor__learning_rate_init': 0.0001, 'transformedtargetregressor__regressor__max_iter': 25};114; 0.4898072966; 58.098622; 4.854165
53.50557899475098;2.038477441565164;0.010270516077677408;0.004949715309649385;2;(64, 64);0.0001;50;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64, 64), 'transformedtargetregressor__regressor__learning_rate_init': 0.0001, 'transformedtargetregressor__regressor__max_iter': 50};100; 0.2537790936; 60.613026; 8.82954
111.03737211227417;9.63995830412246;0.005703369776407878;0.003091045441448618;2;(64, 64);0.0001;100;{'transformedtargetregressor__regressor__batch_size': 2, 'transformedtargetregressor__regressor__hidden_layer_sizes': (64, 64), 'transformedtargetregressor__regressor__learning_rate_init': 0.0001, 'transformedtargetregressor__regressor__max_iter': 100};91; 0.5211558699; 61.81335; 9.692183
